Date,Close
10/3/1999,51.0625
11/3/1999,51.3125
12/3/1999,50.0625
15/03/1999,51.5
16/03/1999,51.9375
17/03/1999,51.5625
18/03/1999,52.5625
19/03/1999,51.21875
22/03/1999,50.59375
23/03/1999,48.8125
24/03/1999,50.46875
25/03/1999,52.3125
26/03/1999,51.75
29/03/1999,53.625
30/03/1999,53.25
31/03/1999,52.46875
1/4/1999,53.5625
5/4/1999,55.5
6/4/1999,55.609375
7/4/1999,55.03125
8/4/1999,55.46875
9/4/1999,55.8125
12/4/1999,55.4375
13/04/1999,54.6875
14/04/1999,52.8125
15/04/1999,53.53125
16/04/1999,51.96875
19/04/1999,49.53125
20/04/1999,50.65625
21/04/1999,53.15625
22/04/1999,54.59375
23/04/1999,55.3125
26/04/1999,56.585938
27/04/1999,55.71875
28/04/1999,53.8125
29/04/1999,53.375
30/04/1999,53.71875
3/5/1999,53.4375
4/5/1999,52.59375
5/5/1999,54.1875
6/5/1999,52.21875
7/5/1999,52.96875
10/5/1999,53.5
11/5/1999,54.34375
12/5/1999,55.46875
13/05/1999,54.4375
14/05/1999,53.40625
17/05/1999,54.367188
18/05/1999,54.125
19/05/1999,54.875
20/05/1999,53.367188
21/05/1999,52.875
24/05/1999,51.53125
25/05/1999,49.84375
26/05/1999,51.234375
27/05/1999,51.1875
28/05/1999,52.03125
1/6/1999,50.875
2/6/1999,51.734375
3/6/1999,51
4/6/1999,52.5625
7/6/1999,53.65625
8/6/1999,52.3125
9/6/1999,53.1875
10/6/1999,52.578125
11/6/1999,51.78125
14/06/1999,50.804688
15/06/1999,51.5625
16/06/1999,54.210938
17/06/1999,54.8125
18/06/1999,55.0625
21/06/1999,56.710938
22/06/1999,55
23/06/1999,55.867188
24/06/1999,54.757813
25/06/1999,54.6875
28/06/1999,55.984375
29/06/1999,56.75
30/06/1999,57.625
1/7/1999,58.015625
2/7/1999,58.75
6/7/1999,58.375
7/7/1999,58.46875
8/7/1999,59.25
9/7/1999,59.84375
12/7/1999,59.53125
13/07/1999,59.25
14/07/1999,60.257813
15/07/1999,60.8125
16/07/1999,61.375
19/07/1999,60.75
20/07/1999,58.40625
21/07/1999,58.6875
22/07/1999,57.195313
23/07/1999,57.28125
26/07/1999,55.875
27/07/1999,57
28/07/1999,58.117188
29/07/1999,56.875
30/07/1999,56.59375
2/8/1999,56.4375
3/8/1999,56.070313
4/8/1999,55.054688
5/8/1999,55.929688
6/8/1999,55.328125
9/8/1999,54.617188
10/8/1999,54.125
11/8/1999,55.90625
12/8/1999,55.25
13/08/1999,57.65625
16/08/1999,58.117188
17/08/1999,58.40625
18/08/1999,57.75
19/08/1999,57.0625
20/08/1999,57.96875
23/08/1999,59.8125
24/08/1999,60.21875
25/08/1999,61.5
26/08/1999,60.476563
27/08/1999,59.875
30/08/1999,59.03125
31/08/1999,59.6875
1/9/1999,60.117188
2/9/1999,59.90625
3/9/1999,62.65625
7/9/1999,62.375
8/9/1999,61.53125
9/9/1999,62.40625
10/9/1999,63.125
13/09/1999,62.367188
14/09/1999,62.710938
15/09/1999,61.5
16/09/1999,61.46875
17/09/1999,63.3125
20/09/1999,63.460938
21/09/1999,61.9375
22/09/1999,62.59375
23/09/1999,60
24/09/1999,60.078125
27/09/1999,60.5
28/09/1999,60.78125
29/09/1999,59.5625
30/09/1999,60.1875
1/10/1999,60.210938
4/10/1999,61.5625
5/10/1999,62
6/10/1999,63.242188
7/10/1999,63.09375
8/10/1999,63.757813
11/10/1999,64.65625
12/10/1999,63.1875
13/10/1999,61.3125
14/10/1999,61.695313
15/10/1999,59.875
18/10/1999,59.117188
19/10/1999,59.4375
20/10/1999,61.25
21/10/1999,62.25
22/10/1999,61.96875
25/10/1999,62
26/10/1999,61.5
27/10/1999,61.40625
28/10/1999,63.53125
29/10/1999,65.75
1/11/1999,65.40625
2/11/1999,65.445313
3/11/1999,66.75
4/11/1999,67.5
5/11/1999,68.1875
8/11/1999,69.5625
9/11/1999,69.09375
10/11/1999,70
11/11/1999,71.25
12/11/1999,72.1875
