Date,Close
30/07/2002,81.519997
31/07/2002,82.529999
1/8/2002,83
2/8/2002,83.849998
5/8/2002,84.220001
6/8/2002,83.5
7/8/2002,83.699997
8/8/2002,83.699997
9/8/2002,84.879997
12/8/2002,85.400002
13/08/2002,86.449997
14/08/2002,86.779999
15/08/2002,86.019997
16/08/2002,85.059998
19/08/2002,85.32
20/08/2002,86.269997
21/08/2002,85.809998
22/08/2002,85.059998
23/08/2002,85.900002
26/08/2002,85.980003
27/08/2002,85.440002
28/08/2002,85.870003
29/08/2002,86.559998
30/08/2002,87.080002
3/9/2002,88.040001
4/9/2002,88.019997
5/9/2002,88.5
6/9/2002,87.459999
9/9/2002,87.330002
10/9/2002,87.75
11/9/2002,87.290001
12/9/2002,87.970001
13/09/2002,88.779999
16/09/2002,88.93
17/09/2002,89.099998
18/09/2002,89.120003
19/09/2002,89.720001
20/09/2002,89.300003
23/09/2002,90.099998
24/09/2002,90.68
25/09/2002,89.580002
26/09/2002,89.370003
27/09/2002,90.040001
30/09/2002,90.400002
1/10/2002,88.940002
2/10/2002,89.449997
3/10/2002,89.230003
4/10/2002,89.510002
7/10/2002,89.660004
8/10/2002,89.690002
9/10/2002,90.150002
10/10/2002,89.440002
11/10/2002,88.379997
14/10/2002,88.25
15/10/2002,86.160004
16/10/2002,86.199997
17/10/2002,85.150002
18/10/2002,85.370003
21/10/2002,84.540001
22/10/2002,84.300003
23/10/2002,84.330002
24/10/2002,85.07
25/10/2002,85.379997
28/10/2002,85.260002
29/10/2002,86.370003
30/10/2002,86.339996
31/10/2002,86.730003
1/11/2002,85.980003
4/11/2002,85.599998
5/11/2002,85.269997
6/11/2002,85.610001
7/11/2002,87.730003
8/11/2002,88.440002
11/11/2002,88.919998
12/11/2002,88.410004
13/11/2002,88.599998
14/11/2002,86.760002
15/11/2002,87.110001
18/11/2002,87.5
19/11/2002,87.82
20/11/2002,86.959999
21/11/2002,86.120003
22/11/2002,86.040001
25/11/2002,85.879997
26/11/2002,86.959999
27/11/2002,85
