Date,3xQQQ Close
11/03/1999,36.41258093
12/03/1999,33.75149097
15/03/1999,36.65892278
16/03/1999,37.59319144
17/03/1999,36.77889849
18/03/1999,38.91876167
19/03/1999,35.93391015
22/03/1999,34.6184528
23/03/1999,30.96202573
24/03/1999,34.11373001
25/03/1999,37.85251033
26/03/1999,36.63146161
29/03/1999,40.61314221
30/03/1999,39.76111825
31/03/1999,38.01106903
01/04/1999,40.38817579
05/04/1999,44.77102334
06/04/1999,45.03571689
07/04/1999,43.63111881
08/04/1999,44.67172471
09/04/1999,45.50224128
12/04/1999,44.58506284
13/04/1999,42.77552253
14/04/1999,38.37575449
15/04/1999,39.94257524
16/04/1999,36.44497671
19/04/1999,31.31682003
20/04/1999,33.45071061
21/04/1999,38.40331428
22/04/1999,41.51892708
23/04/1999,43.15877022
26/04/1999,46.13965255
27/04/1999,44.01836123
28/04/1999,39.50049241
29/04/1999,38.53706577
30/04/1999,39.28163437
03/05/1999,38.66464535
04/05/1999,36.83316215
05/05/1999,40.18163143
06/05/1999,35.80197264
07/05/1999,37.34460701
10/05/1999,38.46825006
11/05/1999,40.28830161
12/05/1999,42.79039279
13/05/1999,40.4037737
14/05/1999,38.10757761
17/05/1999,40.16458514
18/05/1999,39.62782495
19/05/1999,41.27517103
20/05/1999,37.87279117
21/05/1999,36.82492633
24/05/1999,34.01735216
25/05/1999,30.67544127
26/05/1999,33.24294686
27/05/1999,33.15170364
28/05/1999,34.7910736
01/06/1999,32.47166869
02/06/1999,34.11719244
03/06/1999,32.66430083
04/06/1999,35.66653436
07/06/1999,37.89304216
08/06/1999,35.04609839
09/06/1999,36.80468398
10/06/1999,35.53965812
11/06/1999,33.92373904
14/06/1999,32.00439752
15/06/1999,33.43654782
16/06/1999,38.58881685
17/06/1999,39.87344132
18/06/1999,40.41903002
21/06/1999,44.04917386
22/06/1999,40.06235537
23/06/1999,41.9573514
24/06/1999,39.4578644
25/06/1999,39.30586412
28/06/1999,42.1021956
29/06/1999,43.82952542
30/06/1999,45.85688233
01/07/1999,46.78943823
02/07/1999,48.56625234
06/07/1999,47.63626027
07/07/1999,47.86577116
08/07/1999,49.78449529
09/07/1999,51.28118106
12/07/1999,50.47782053
13/07/1999,49.76238685
14/07/1999,52.30168712
15/07/1999,53.74603423
16/07/1999,55.23744525
19/07/1999,53.54994692
20/07/1999,47.3520364
21/07/1999,48.03609471
22/07/1999,44.37200085
23/07/1999,44.57201007
26/07/1999,41.28929247
27/07/1999,43.78327658
28/07/1999,46.35770559
29/07/1999,43.3851778
30/07/1999,42.74155153
02/08/1999,42.38753537
03/08/1999,41.56020503
04/08/1999,39.30181297
05/08/1999,41.17571804
06/08/1999,39.84709691
09/08/1999,38.31105486
10/08/1999,37.27532368
11/08/1999,40.95550864
12/08/1999,39.51325205
13/08/1999,44.6758998
16/08/1999,45.74739612
17/08/1999,46.43000832
18/08/1999,44.86495186
19/08/1999,43.26263215
20/08/1999,45.32388571
23/08/1999,49.6485907
24/08/1999,50.6602391
25/08/1999,53.89387139
26/08/1999,51.2032869
27/08/1999,49.67532294
30/08/1999,47.57527014
31/08/1999,49.16195199
01/09/1999,50.22369696
02/09/1999,49.69502521
03/09/1999,56.53878455
07/09/1999,55.77741439
08/09/1999,53.51390208
09/09/1999,55.796872
10/09/1999,57.72475591
13/09/1999,55.64580877
